OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost
ORD0000033,2021-04-04,CUST011946,Simran Patel,P00047,Memory Card 128GB,Electronics,CoreTech,2,151.95,0.05,14.44,3.5
ORD0000034,2023-08-30,CUST049225,Mohit Patel,P00046,Car Charger,Clothing,HomeEase,1,218.74,0.0,10.94,12.22
ORD0000035,2020-01-22,CUST048518,Vikas Kumar,P00021,Backpack,Sports & Outdoors,BrightLux,5,294.8,0.1,159.19,4.08
ORD0000036,2020-09-09,CUST047957,Pooja Verma,P00033,Puzzle 1000pc,Books,BrightLux,1,357.76,0.25,0.0,6.76
ORD0000037,2022-01-17,CUST043577,Kabir Singh,P00032,Board Game,Electronics,CoreTech,5,448.89,0.0,179.56,3.3
ORD0000038,2022-05-06,CUST029566,Sahil Kumar,P00015,Instant Pot,Electronics,ReadMore,4,300.89,0.0,144.43,0.43
ORD0000039,2024-05-03,CUST004199,Mohit Joshi,P00040,Microphone,Home & Kitchen,FitLife,5,512.88,0.25,96.17,11.33
ORD0000040,2021-04-19,CUST042096,Sunita Gupta,P00010,Smartwatch,Books,HomeEase,2,81.82,0.1,7.36,4.47
ORD0000041,2022-12-18,CUST017203,Sahil Kumar,P00035,Desk Plant,Sports & Outdoors,Zenith,3,215.9,0.0,77.72,8.45
ORD0000042,2021-05-25,CUST046853,Anjali Sharma,P00022,Water Bottle,Books,HomeEase,5,574.28,0.1,129.21,2.23
ORD0000043,2024-09-01,CUST020850,Sneha Sharma,P00031,Kids Toy Car,Home & Kitchen,FitLife,4,109.59,0.0,35.07,7.59
ORD0000044,2024-02-08,CUST039744,Anjali Mehta,P00025,Running Shoes,Toys & Games,HomeEase,3,88.46,0.15,40.6,2.73
ORD0000045,2021-11-30,CUST017434,Pooja Verma,P00035,Desk Plant,Electronics,Apex,4,395.64,0.05,120.27,3.89
ORD0000046,2022-09-02,CUST045893,Rohit Kapoor,P00009,Portable SSD 1TB,Toys & Games,HomeEase,2,449.14,0.05,0.0,5.62
ORD0000047,2024-12-11,CUST033696,Anjali Kumar,P00039,Graphic Tablet,Electronics,CoreTech,4,121.45,0.0,0.0,3.75
ORD0000048,2020-07-08,CUST032008,Neha Mehta,P00030,Dress Shirt,Toys & Games,FitLife,2,140.89,0.05,21.42,0.48
ORD0000049,2022-08-15,CUST011785,Simran Singh,P00014,Drone Mini,Books,ReadMore,3,249.84,0.2,47.97,3.26
ORD0000050,2021-11-17,CUST001846,Pooja Singh,P00012,Noise Cancelling Headphones,Books,KiddoFun,3,482.37,0.15,61.5,8.73
ORD0000051,2022-08-15,CUST048348,Sneha Reddy,P00047,Memory Card 128GB,Books,FitLife,3,244.83,0.25,0.0,8.07
ORD0000052,2021-07-16,CUST027076,Sahil Gupta,P00039,Graphic Tablet,Electronics,UrbanStyle,4,353.85,0.05,67.23,6.09
ORD0000053,2024-05-09,CUST012995,Ritika Mehta,P00050,Novel Bestseller,Electronics,NexPro,3,324.76,0.3,34.1,0.75
ORD0000054,2023-06-21,CUST030633,Ritika Mehta,P00049,Children's Book,Sports & Outdoors,FitLife,1,491.78,0.1,53.11,5.14
ORD0000055,2022-04-11,CUST013482,Vikas Kumar,P00044,Power Bank 20000mAh,Electronics,NexPro,4,549.22,0.05,104.35,8.22
ORD0000056,2024-03-08,CUST030091,Arjun Reddy,P00044,Power Bank 20000mAh,Home & Kitchen,Apex,4,364.08,0.25,131.07,12.95
ORD0000057,2023-02-28,CUST031856,Neha Verma,P00022,Water Bottle,Sports & Outdoors,HomeEase,2,509.59,0.0,183.45,3.79
ORD0000058,2024-02-17,CUST040925,Vivaan Verma,P00005,Laptop Sleeve,Clothing,UrbanStyle,5,182.55,0.0,45.64,12.08
ORD0000059,2021-10-08,CUST031615,Arjun Singh,P00016,Air Fryer,Toys & Games,Apex,3,184.7,0.3,46.54,7.98
ORD0000060,2020-01-21,CUST018312,Karan Kapoor,P00027,Winter Jacket,Electronics,NexPro,2,439.8,0.0,43.98,7.55
ORD0000061,2022-04-20,CUST017070,Aditya Mehta,P00037,Router,Books,BrightLux,4,593.02,0.05,405.63,9.18
ORD0000062,2020-06-15,CUST026591,Sunita Kapoor,P00025,Running Shoes,Home & Kitchen,ReadMore,3,131.36,0.0,70.93,7.25
ORD0000063,2023-07-21,CUST006724,Simran Reddy,P00004,USB-C Charger,Toys & Games,HomeEase,3,71.26,0.1,23.09,11.28
ORD0000064,2021-01-22,CUST026258,Pooja Reddy,P00037,Router,Books,CoreTech,5,107.11,0.05,25.44,12.92
ORD0000065,2021-08-23,CUST000139,Aarav Verma,P00039,Graphic Tablet,Toys & Games,Zenith,5,417.28,0.15,88.67,9.65
ORD0000066,2020-11-11,CUST038107,Sahil Gupta,P00037,Router,Books,FitLife,2,559.03,0.1,50.31,11.62
ORD0000067,2020-01-14,CUST015763,Anjali Verma,P00046,Car Charger,Home & Kitchen,BrightLux,4,203.84,0.1,36.69,13.68
ORD0000068,2020-08-29,CUST041458,Priya Mehta,P00008,4K Monitor,Clothing,Zenith,4,129.9,0.05,59.23,9.13
ORD0000069,2022-02-15,CUST033817,Mohit Joshi,P00050,Novel Bestseller,Books,NexPro,5,105.16,0.0,26.29,13.29
ORD0000070,2023-10-01,CUST041366,Aarav Gupta,P00041,Webcam Full HD,Electronics,BrightLux,1,82.79,0.0,6.62,8.76
ORD0000071,2021-07-18,CUST005372,Aman Singh,P00022,Water Bottle,Sports & Outdoors,Zenith,4,433.7,0.15,176.95,10.58
ORD0000072,2022-06-16,CUST018135,Aman Verma,P00011,Fitness Band,Home & Kitchen,Zenith,3,137.1,0.0,32.9,12.88
ORD0000073,2023-09-25,CUST043454,Priya Reddy,P00027,Winter Jacket,Toys & Games,CoreTech,5,582.66,0.0,233.06,14.07
ORD0000074,2020-04-01,CUST007050,Kabir Kumar,P00039,Graphic Tablet,Home & Kitchen,CoreTech,2,522.56,0.0,83.61,0.43
ORD0000075,2023-10-22,CUST027444,Arjun Patel,P00010,Smartwatch,Sports & Outdoors,NexPro,2,354.18,0.05,80.75,2.49
ORD0000076,2022-08-13,CUST042061,Mohit Reddy,P00010,Smartwatch,Clothing,CoreTech,4,437.47,0.0,314.98,8.82
ORD0000077,2024-01-18,CUST016864,Aman Sharma,P00026,Sunglasses,Toys & Games,NexPro,1,392.71,0.1,42.41,7.82
ORD0000078,2023-12-22,CUST028956,Kabir Patel,P00011,Fitness Band,Electronics,ReadMore,1,592.91,0.05,28.16,6.83
ORD0000079,2021-05-23,CUST001710,Neha Sharma,P00009,Portable SSD 1TB,Home & Kitchen,CoreTech,2,76.97,0.0,7.7,4.91
ORD0000080,2022-02-14,CUST023701,Vihaan Patel,P00007,Mechanical Keyboard,Electronics,CoreTech,1,534.31,0.1,57.71,14.47
ORD0000081,2020-02-04,CUST005263,Priya Kumar,P00010,Smartwatch,Toys & Games,BrightLux,2,402.77,0.05,38.26,13.08
ORD0000082,2020-07-24,CUST014979,Vivaan Kumar,P00030,Dress Shirt,Home & Kitchen,ReadMore,3,335.1,0.1,72.38,4.24
ORD0000083,2023-01-09,CUST038225,Ritika Verma,P00016,Air Fryer,Books,UrbanStyle,3,258.13,0.05,132.42,7.69
ORD0000084,2024-05-04,CUST028769,Aditya Joshi,P00040,Microphone,Sports & Outdoors,KiddoFun,1,594.67,0.15,40.44,7.22
ORD0000085,2023-11-12,CUST049605,Aditya Reddy,P00036,Smart Light Bulb,Electronics,HomeEase,4,494.13,0.05,225.32,7.18
ORD0000086,2022-10-22,CUST015624,Arjun Singh,P00017,Electric Kettle,Sports & Outdoors,KiddoFun,4,15.47,0.05,10.58,3.91
ORD0000087,2022-10-18,CUST026490,Neha Reddy,P00017,Electric Kettle,Sports & Outdoors,UrbanStyle,4,28.59,0.0,20.58,13.02
ORD0000088,2023-11-14,CUST001370,Mohit Gupta,P00023,Cookware Set,Electronics,HomeEase,5,456.58,0.15,155.24,7.48
ORD0000089,2021-07-19,CUST043394,Aman Kapoor,P00029,T-Shirt,Books,Zenith,3,324.31,0.2,62.27,4.63
ORD0000090,2023-02-03,CUST039077,Karan Kumar,P00015,Instant Pot,Books,ReadMore,5,342.26,0.2,109.52,7.29
ORD0000091,2024-11-30,CUST007564,Sahil Kumar,P00016,Air Fryer,Clothing,NexPro,5,201.16,0.2,64.37,9.38
ORD0000092,2024-02-09,CUST033299,Priya Mehta,P00045,Phone Tripod,Sports & Outdoors,ReadMore,4,555.99,0.05,253.53,1.26
ORD0000093,2021-12-03,CUST039707,Vikas Joshi,P00022,Water Bottle,Home & Kitchen,UrbanStyle,5,138.56,0.2,27.71,7.71
ORD0000094,2021-02-05,CUST043458,Aman Joshi,P00048,Wireless Charger,Clothing,HomeEase,4,409.78,0.0,295.04,14.29
ORD0000095,2021-12-30,CUST001552,Vihaan Kumar,P00045,Phone Tripod,Electronics,KiddoFun,4,42.31,0.1,12.19,1.28
ORD0000096,2024-04-28,CUST039426,Sneha Verma,P00043,HDMI Cable 2m,Electronics,NexPro,1,170.88,0.2,16.4,7.6
ORD0000097,2020-06-10,CUST049557,Anjali Sharma,P00048,Wireless Charger,Books,NexPro,3,548.17,0.05,0.0,2.63
ORD0000098,2020-07-20,CUST033386,Ritika Reddy,P00036,Smart Light Bulb,Electronics,CoreTech,4,260.91,0.0,83.49,2.86
ORD0000099,2022-09-22,CUST018449,Sneha Kapoor,P00028,Jeans,Books,CoreTech,5,384.56,0.15,130.75,12.62
ORD0000100,2020-09-26,CUST012492,Sneha Sharma,P00023,Cookware Set,Electronics,Apex,1,206.2,0.0,16.5,9.08
ORD0000101,2022-03-26,CUST015367,Aditya Sharma,P00018,Vacuum Cleaner,Sports & Outdoors,ReadMore,4,369.47,0.25,199.51,4.56
ORD0000102,2023-07-18,CUST009929,Sneha Verma,P00014,Drone Mini,Books,FitLife,1,29.37,0.0,1.47,5.45
ORD0000103,2021-03-31,CUST030254,Vivaan Patel,P00045,Phone Tripod,Home & Kitchen,Apex,2,159.82,0.05,15.18,2.55
ORD0000104,2024-01-25,CUST041994,Aditya Reddy,P00031,Kids Toy Car,Toys & Games,CoreTech,4,548.39,0.0,109.68,12.26
ORD0000105,2024-10-16,CUST034561,Sneha Gupta,P00033,Puzzle 1000pc,Electronics,HomeEase,3,99.05,0.05,33.88,0.71
ORD0000106,2023-06-29,CUST028297,Neha Kumar,P00017,Electric Kettle,Toys & Games,BrightLux,1,113.27,0.05,5.38,0.22
ORD0000107,2022-10-13,CUST002237,Sahil Singh,P00036,Smart Light Bulb,Sports & Outdoors,UrbanStyle,3,297.26,0.05,101.66,5.24
ORD0000108,2024-09-21,CUST007600,Ritika Kapoor,P00034,Desk Organizer,Clothing,HomeEase,1,483.5,0.0,38.68,4.62
ORD0000109,2020-10-22,CUST010526,Neha Kumar,P00005,Laptop Sleeve,Sports & Outdoors,HomeEase,3,127.42,0.15,16.25,1.88
ORD0000110,2024-10-14,CUST024904,Neha Mehta,P00023,Cookware Set,Sports & Outdoors,HomeEase,5,520.69,0.0,130.17,9.98
ORD0000111,2021-12-20,CUST033463,Rohit Verma,P00029,T-Shirt,Clothing,BrightLux,5,61.48,0.0,55.33,2.64
ORD0000112,2024-11-07,CUST015883,Vihaan Mehta,P00022,Water Bottle,Books,KiddoFun,5,314.0,0.0,282.6,8.14
ORD0000113,2020-12-03,CUST035697,Vikas Mehta,P00024,Yoga Mat,Sports & Outdoors,UrbanStyle,4,189.7,0.25,28.46,13.2
ORD0000114,2022-05-28,CUST010676,Karan Joshi,P00036,Smart Light Bulb,Clothing,HomeEase,2,103.29,0.2,0.0,0.55
ORD0000115,2022-12-12,CUST037855,Vivaan Verma,P00012,Noise Cancelling Headphones,Home & Kitchen,UrbanStyle,3,167.08,0.0,40.1,7.29
ORD0000116,2022-03-02,CUST013803,Vivaan Mehta,P00021,Backpack,Sports & Outdoors,KiddoFun,4,468.57,0.25,70.29,14.63
ORD0000117,2020-08-04,CUST041291,Anjali Verma,P00042,Projector Mini,Clothing,HomeEase,2,25.31,0.0,0.0,14.69
ORD0000118,2022-02-02,CUST025351,Sneha Kumar,P00006,Gaming Mouse,Sports & Outdoors,KiddoFun,2,590.96,0.05,134.74,5.5
ORD0000119,2020-07-06,CUST023478,Rohit Reddy,P00009,Portable SSD 1TB,Home & Kitchen,FitLife,2,433.24,0.05,98.78,10.23
ORD0000120,2021-01-14,CUST029783,Simran Singh,P00050,Novel Bestseller,Books,CoreTech,4,187.75,0.05,128.42,9.52
ORD0000121,2021-05-07,CUST001056,Karan Singh,P00017,Electric Kettle,Toys & Games,Zenith,5,230.99,0.15,117.8,10.69
ORD0000122,2022-11-30,CUST026942,Pooja Joshi,P00008,4K Monitor,Sports & Outdoors,Zenith,5,246.13,0.1,0.0,9.69
ORD0000123,2023-03-26,CUST027791,Sneha Verma,P00050,Novel Bestseller,Home & Kitchen,ReadMore,1,18.66,0.0,0.93,5.03
ORD0000124,2020-01-15,CUST019410,Simran Reddy,P00043,HDMI Cable 2m,Clothing,HomeEase,2,48.99,0.25,3.67,1.59
ORD0000125,2020-03-05,CUST009308,Vihaan Sharma,P00021,Backpack,Sports & Outdoors,HomeEase,5,200.05,0.05,114.03,2.34
ORD0000126,2021-06-04,CUST004285,Sahil Sharma,P00008,4K Monitor,Electronics,Apex,4,149.47,0.0,71.75,10.48
ORD0000127,2023-09-29,CUST037966,Aditya Kumar,P00027,Winter Jacket,Sports & Outdoors,CoreTech,3,460.51,0.05,157.49,3.17
ORD0000128,2023-02-26,CUST025421,Mohit Mehta,P00050,Novel Bestseller,Home & Kitchen,Zenith,5,141.31,0.15,72.07,14.56
ORD0000129,2021-10-09,CUST039352,Neha Joshi,P00010,Smartwatch,Books,Apex,3,204.15,0.1,66.14,10.09
ORD0000130,2024-02-04,CUST032886,Rohit Mehta,P00015,Instant Pot,Books,BrightLux,4,577.36,0.2,92.38,4.08
ORD0000131,2022-12-22,CUST014360,Vivaan Singh,P00050,Novel Bestseller,Electronics,ReadMore,2,509.27,0.0,0.0,6.71
ORD0000132,2023-03-08,CUST007708,Sunita Sharma,P00028,Jeans,Clothing,Zenith,3,496.12,0.0,74.42,5.91
ORD0000133,2024-03-02,CUST013067,Sunita Gupta,P00026,Sunglasses,Clothing,KiddoFun,3,497.74,0.0,179.19,7.58
ORD0000134,2021-08-15,CUST046835,Simran Gupta,P00043,HDMI Cable 2m,Books,UrbanStyle,4,384.81,0.0,184.71,13.11
ORD0000135,2021-01-26,CUST011228,Karan Reddy,P00003,Smartphone Case,Toys & Games,HomeEase,2,321.46,0.1,69.44,5.41
ORD0000136,2024-08-25,CUST046806,Neha Singh,P00013,Action Camera,Toys & Games,ReadMore,5,498.26,0.05,189.34,3.64
ORD0000137,2021-02-22,CUST014033,Rohit Gupta,P00049,Children's Book,Books,FitLife,5,211.88,0.1,76.28,9.75
ORD0000138,2020-10-15,CUST040569,Rohit Sharma,P00030,Dress Shirt,Clothing,ReadMore,2,333.88,0.05,0.0,10.61
ORD0000139,2021-01-13,CUST041172,Ritika Reddy,P00015,Instant Pot,Electronics,HomeEase,2,522.65,0.05,79.44,13.86
ORD0000140,2024-12-01,CUST001601,Vivaan Patel,P00005,Laptop Sleeve,Toys & Games,UrbanStyle,4,67.78,0.05,20.61,11.17
ORD0000141,2024-02-22,CUST046508,Vivaan Sharma,P00032,Board Game,Books,Zenith,5,22.67,0.0,0.0,13.16
ORD0000142,2020-08-18,CUST027712,Ritika Joshi,P00017,Electric Kettle,Home & Kitchen,UrbanStyle,5,544.52,0.25,245.03,2.79
ORD0000143,2022-10-14,CUST029705,Aman Reddy,P00046,Car Charger,Electronics,CoreTech,1,431.01,0.0,0.0,2.23
ORD0000144,2020-02-10,CUST008224,Mohit Sharma,P00049,Children's Book,Books,NexPro,3,346.56,0.15,44.19,1.85
ORD0000145,2022-11-17,CUST046362,Aman Verma,P00039,Graphic Tablet,Books,BrightLux,1,87.79,0.0,15.8,10.92
ORD0000146,2020-05-14,CUST005950,Mohit Verma,P00015,Instant Pot,Home & Kitchen,HomeEase,4,596.8,0.05,272.14,2.1
ORD0000147,2020-07-19,CUST037485,Kabir Verma,P00015,Instant Pot,Electronics,KiddoFun,1,194.17,0.0,9.71,5.33
ORD0000148,2022-02-18,CUST027818,Sneha Mehta,P00027,Winter Jacket,Clothing,CoreTech,2,42.52,0.05,4.04,11.11
ORD0000149,2022-07-18,CUST048304,Vihaan Kapoor,P00032,Board Game,Toys & Games,Apex,3,262.02,0.15,120.27,7.09
ORD0000150,2022-11-22,CUST033670,Sneha Kapoor,P00009,Portable SSD 1TB,Toys & Games,NexPro,3,43.8,0.0,10.51,6.23
ORD0000151,2022-12-07,CUST038774,Kabir Sharma,P00015,Instant Pot,Clothing,ReadMore,4,306.01,0.3,42.84,9.24
ORD0000152,2021-05-17,CUST026880,Kabir Verma,P00029,T-Shirt,Sports & Outdoors,Zenith,4,251.6,0.1,108.69,13.75
ORD0000153,2021-02-10,CUST044830,Karan Kapoor,P00003,Smartphone Case,Electronics,ReadMore,3,431.79,0.0,64.77,11.24
ORD0000154,2024-05-16,CUST040087,Ritika Reddy,P00023,Cookware Set,Books,Apex,4,291.13,0.15,49.49,2.52
ORD0000155,2024-10-17,CUST026727,Anjali Gupta,P00025,Running Shoes,Clothing,Apex,3,414.46,0.25,111.9,4.69
ORD0000156,2022-03-15,CUST011225,Rohit Patel,P00026,Sunglasses,Electronics,BrightLux,3,180.87,0.0,27.13,2.04
ORD0000157,2020-04-08,CUST031885,Sneha Gupta,P00047,Memory Card 128GB,Sports & Outdoors,NexPro,5,104.18,0.1,0.0,8.69
ORD0000158,2021-11-14,CUST016025,Sunita Singh,P00045,Phone Tripod,Books,NexPro,2,400.69,0.1,57.7,10.68
ORD0000159,2021-12-26,CUST036113,Priya Joshi,P00007,Mechanical Keyboard,Home & Kitchen,FitLife,3,479.99,0.25,129.6,8.69
ORD0000160,2024-04-19,CUST043628,Anjali Verma,P00008,4K Monitor,Sports & Outdoors,CoreTech,1,247.54,0.05,28.22,2.07
ORD0000161,2022-08-18,CUST020507,Aarav Joshi,P00026,Sunglasses,Toys & Games,FitLife,3,14.51,0.05,4.96,0.82
ORD0000162,2024-10-28,CUST012422,Kabir Kapoor,P00018,Vacuum Cleaner,Electronics,NexPro,5,216.33,0.2,0.0,9.73
ORD0000163,2021-09-04,CUST009807,Vihaan Verma,P00039,Graphic Tablet,Home & Kitchen,ReadMore,3,38.53,0.0,5.78,8.4
ORD0000164,2024-01-25,CUST048496,Sahil Kumar,P00016,Air Fryer,Electronics,NexPro,3,465.66,0.1,62.86,0.89
ORD0000165,2021-10-04,CUST029400,Aman Gupta,P00015,Instant Pot,Electronics,BrightLux,5,35.27,0.0,21.16,12.99
ORD0000166,2024-11-27,CUST004811,Arjun Patel,P00038,External HDD 2TB,Home & Kitchen,UrbanStyle,2,82.5,0.05,18.81,13.79
ORD0000167,2022-10-25,CUST008669,Aditya Kumar,P00035,Desk Plant,Home & Kitchen,KiddoFun,4,298.96,0.1,86.1,3.63
ORD0000168,2023-05-26,CUST035784,Vikas Gupta,P00015,Instant Pot,Toys & Games,NexPro,5,232.62,0.05,88.4,9.35
ORD0000169,2021-05-17,CUST027512,Mohit Joshi,P00011,Fitness Band,Books,Apex,4,493.2,0.2,189.39,3.74
ORD0000170,2022-02-05,CUST023754,Sahil Gupta,P00043,HDMI Cable 2m,Clothing,BrightLux,4,497.42,0.05,226.82,12.34
ORD0000171,2021-02-01,CUST011579,Kabir Reddy,P00050,Novel Bestseller,Clothing,KiddoFun,1,154.24,0.05,17.58,9.86
ORD0000172,2022-05-20,CUST003082,Aarav Reddy,P00024,Yoga Mat,Sports & Outdoors,UrbanStyle,3,497.52,0.15,228.36,0.91
ORD0000173,2022-03-05,CUST040193,Priya Verma,P00025,Running Shoes,Books,UrbanStyle,4,64.53,0.0,0.0,13.67
ORD0000174,2021-01-27,CUST014061,Arjun Gupta,P00020,Office Chair,Electronics,FitLife,4,331.21,0.0,66.24,5.9
ORD0000175,2020-07-25,CUST028212,Vihaan Verma,P00015,Instant Pot,Clothing,NexPro,4,155.87,0.1,28.06,7.79
ORD0000176,2022-11-04,CUST010967,Sahil Singh,P00004,USB-C Charger,Clothing,CoreTech,1,598.75,0.1,26.94,3.35
ORD0000177,2024-04-26,CUST022674,Pooja Gupta,P00036,Smart Light Bulb,Electronics,HomeEase,5,489.41,0.05,278.96,7.24
ORD0000178,2022-06-10,CUST048983,Kabir Kumar,P00006,Gaming Mouse,Toys & Games,Zenith,4,131.22,0.1,0.0,14.12
ORD0000179,2024-01-24,CUST016133,Anjali Kumar,P00014,Drone Mini,Toys & Games,HomeEase,2,176.38,0.05,26.81,11.05
ORD0000180,2024-09-10,CUST044928,Pooja Reddy,P00001,Wireless Earbuds,Sports & Outdoors,CoreTech,1,418.7,0.3,23.45,4.48
ORD0000181,2024-05-17,CUST024560,Neha Gupta,P00010,Smartwatch,Home & Kitchen,ReadMore,2,531.4,0.0,127.54,4.49
ORD0000182,2022-05-13,CUST019814,Vivaan Verma,P00050,Novel Bestseller,Books,CoreTech,5,341.7,0.1,276.78,1.7
ORD0000183,2022-01-12,CUST015222,Karan Gupta,P00016,Air Fryer,Electronics,ReadMore,2,375.82,0.05,35.7,13.55
ORD0000184,2023-06-18,CUST015733,Vivaan Sharma,P00025,Running Shoes,Home & Kitchen,FitLife,3,99.26,0.0,23.82,5.19
ORD0000185,2021-07-17,CUST023655,Anjali Singh,P00026,Sunglasses,Home & Kitchen,Zenith,2,572.09,0.0,91.53,2.64
ORD0000186,2022-10-17,CUST021204,Pooja Singh,P00042,Projector Mini,Toys & Games,UrbanStyle,2,495.32,0.0,49.53,10.01
ORD0000187,2020-04-05,CUST016221,Simran Reddy,P00049,Children's Book,Sports & Outdoors,Zenith,2,190.82,0.2,15.27,7.58
ORD0000188,2024-10-23,CUST036912,Karan Reddy,P00004,USB-C Charger,Home & Kitchen,BrightLux,1,50.92,0.2,3.26,1.3
ORD0000189,2021-04-29,CUST043111,Aarav Verma,P00033,Puzzle 1000pc,Toys & Games,FitLife,5,129.25,0.15,43.94,6.24
ORD0000190,2023-12-01,CUST034016,Aditya Singh,P00046,Car Charger,Sports & Outdoors,Zenith,3,416.84,0.15,85.04,14.4
ORD0000191,2020-08-18,CUST040748,Sahil Sharma,P00030,Dress Shirt,Sports & Outdoors,KiddoFun,5,319.28,0.05,75.83,12.39
ORD0000192,2022-01-18,CUST004207,Vikas Kapoor,P00040,Microphone,Books,Zenith,2,67.54,0.05,10.27,1.64
ORD0000193,2024-08-05,CUST041282,Sahil Singh,P00012,Noise Cancelling Headphones,Toys & Games,ReadMore,2,289.23,0.1,0.0,13.08
ORD0000194,2023-04-09,CUST044672,Karan Singh,P00019,LED Desk Lamp,Home & Kitchen,ReadMore,2,373.58,0.2,47.82,8.74
ORD0000195,2021-06-24,CUST004859,Vivaan Gupta,P00009,Portable SSD 1TB,Sports & Outdoors,Zenith,4,359.89,0.05,68.38,13.15
